indice,dfbeta_constante,"dfbeta_C(diagnostico, Treatment(reference='DGN3'))[T.DGN1]","dfbeta_C(diagnostico, Treatment(reference='DGN3'))[T.DGN2]","dfbeta_C(diagnostico, Treatment(reference='DGN3'))[T.DGN4]","dfbeta_C(diagnostico, Treatment(reference='DGN3'))[T.DGN5]","dfbeta_C(diagnostico, Treatment(reference='DGN3'))[T.DGN6]","dfbeta_C(diagnostico, Treatment(reference='DGN3'))[T.DGN8]","dfbeta_C(tamanho_tumor_tnm, Treatment(reference='OC11'))[T.OC12]","dfbeta_C(tamanho_tumor_tnm, Treatment(reference='OC11'))[T.OC13]","dfbeta_C(tamanho_tumor_tnm, Treatment(reference='OC11'))[T.OC14]",dfbeta_dispneia_antes_cirurgia,dfbeta_diabetes_mellitus_tipo_2,dfbeta_tabagismo,max_abs_dfbeta,dfbeta_maior_2_raiz_n
31,-0.016631295781393957,5.230113683311745e-08,0.003188322267415278,0.0029343953534759722,0.004583567592525819,1.2484898677876306e-07,0.006462550074858702,-0.004465829151259728,-0.0006120565651607598,4.796070009234858e-05,0.00576366228897472,0.004290018655115756,0.01826830329302037,0.01826830329302037,False
32,-0.1123113315320421,-2.0764736070445654e-07,-0.0010831926025978958,0.01652169450738742,-0.25081216783887667,-5.162750978647603e-07,0.04781410342711668,-0.06975619449565036,-0.027166940296668926,-0.00982868899662127,0.0380114899346035,-0.1772568615438708,0.18267551356872283,0.25081216783887667,True
33,-0.03597528571267936,5.404190851539456e-08,0.006522095684909935,0.010234276240197914,0.011820507141801587,1.5156601564855367e-07,0.014123730374923392,-0.01103180535315839,-0.0045236836018135535,0.002631843127965883,0.011115860500783338,-0.03355079961835759,0.043943898149374154,0.043943898149374154,False
34,-0.021634165554983133,-3.531903416746936e-08,-0.014776566387394332,0.0006581772584697906,0.0036816947258392447,1.1510364653265745e-07,0.006750924735464393,0.009903533814559072,0.006969920959809612,0.009067995613810664,0.004835064988089131,0.003698539551714997,0.01972775648659179,0.021634165554983133,False
35,-0.010633603513354786,4.1262102632594515e-08,0.004073836123725326,0.005285916815020021,0.004978989736403544,2.730473356988941e-07,0.0019946261337406034,0.017429216195524722,0.009153257989897037,0.009507729066783191,0.0026907651400368887,0.004200508968125691,-0.0019806684093276817,0.017429216195524722,False
36,-0.0006598344461822055,2.057957811320711e-07,0.007967524000207539,0.008159252054853856,0.005484591779167241,2.5327877221563187e-07,0.0016694375611358198,-0.013587629164497553,-0.0012319157970348377,-0.0006304069276494443,0.007851558520142026,0.006690931053631271,-0.002741772466450218,0.013587629164497553,False
37,-0.07135444743461311,-1.4431194362140302e-07,0.01720750049285043,0.01944636652590582,0.024136517582214172,-1.0284283863219288e-07,0.02742507591742927,-0.01629708512133357,0.004836284135035801,0.0004123015550590069,-0.1001293358466367,-0.10437895871714195,0.09857528080817579,0.10437895871714195,True
38,-0.010633603513354786,4.1262102632594515e-08,0.004073836123725326,0.005285916815020021,0.004978989736403544,2.730473356988941e-07,0.0019946261337406034,0.017429216195524722,0.009153257989897037,0.009507729066783191,0.0026907651400368887,0.004200508968125691,-0.0019806684093276817,0.017429216195524722,False
39,-0.010633603513354786,4.1262102632594515e-08,0.004073836123725326,0.005285916815020021,0.004978989736403544,2.730473356988941e-07,0.0019946261337406034,0.017429216195524722,0.009153257989897037,0.009507729066783191,0.0026907651400368887,0.004200508968125691,-0.0019806684093276817,0.017429216195524722,False
40,-0.007496323350732441,2.6038911638889627e-07,0.010321767926198605,0.003261744610474151,0.32534154100724394,-5.137923032364432e-07,0.014801191997558907,-0.11483861243222146,-0.06364532891171847,-0.043287201962929164,0.002890342211977633,-0.027591705172233794,0.06744659002457039,0.32534154100724394,True
41,-0.03432396217310929,-6.73226510213385e-07,0.28178817280422896,-0.012003438767546611,-0.0005977621879682578,-4.021344614014392e-07,0.004430507769988347,0.0753153182825217,-0.040083461059881205,-0.07133866898402756,-0.0532472485726337,-0.03175706160754948,0.029460643669214165,0.28178817280422896,True
42,-0.0006598344461822055,2.057957811320711e-07,0.007967524000207539,0.008159252054853856,0.005484591779167241,2.5327877221563187e-07,0.0016694375611358198,-0.013587629164497553,-0.0012319157970348377,-0.0006304069276494443,0.007851558520142026,0.006690931053631271,-0.002741772466450218,0.013587629164497553,False
43,-0.0692704564003255,-4.3283744385341163e-07,-0.0012066862560657734,-0.00043535734183516666,0.2784931547963207,1.481150103707488e-07,0.017377731331202857,0.07193142178185288,0.008994510387131852,0.025549757213662583,-0.015477161947310131,-0.0264722278493201,0.0561372887533824,0.2784931547963207,True
44,-0.0006598344461822055,2.057957811320711e-07,0.007967524000207539,0.008159252054853856,0.005484591779167241,2.5327877221563187e-07,0.0016694375611358198,-0.013587629164497553,-0.0012319157970348377,-0.0006304069276494443,0.007851558520142026,0.006690931053631271,-0.002741772466450218,0.013587629164497553,False
45,-0.010633603513354786,4.1262102632594515e-08,0.004073836123725326,0.005285916815020021,0.004978989736403544,2.730473356988941e-07,0.0019946261337406034,0.017429216195524722,0.009153257989897037,0.009507729066783191,0.0026907651400368887,0.004200508968125691,-0.0019806684093276817,0.017429216195524722,False
46,-0.0006598344461822055,2.057957811320711e-07,0.007967524000207539,0.008159252054853856,0.005484591779167241,2.5327877221563187e-07,0.0016694375611358198,-0.013587629164497553,-0.0012319157970348377,-0.0006304069276494443,0.007851558520142026,0.006690931053631271,-0.002741772466450218,0.013587629164497553,False
47,0.004869166421937083,-1.5186444312849473e-06,-0.05879535473217102,-0.06021018812140783,-0.04047286449452642,-1.8690392721953416e-06,-0.012319407335030832,0.10026822343742127,0.009090769765480691,0.004652009700353794,-0.0579396018612715,-0.04937489548528527,0.020232569711197728,0.10026822343742127,True
48,-0.0006598344461822055,2.057957811320711e-07,0.007967524000207539,0.008159252054853856,0.005484591779167241,2.5327877221563187e-07,0.0016694375611358198,-0.013587629164497553,-0.0012319157970348377,-0.0006304069276494443,0.007851558520142026,0.006690931053631271,-0.002741772466450218,0.013587629164497553,False
